body_weight,brain_weight
3.385,44.5
0.48,15.499
1.35,8.1
464.983,423.012
36.328,119.498
27.66,114.996
14.831,98.199
1.04,5.5
4.19,57.998
0.425,6.4
0.101,4
0.92,5.7
1,6.6
0.005,0.14
0.06,1
3.5,10.8
2,12.3
1.7,6.3
2547.07,4603.17
0.023,0.3
187.092,419.012
521.026,654.977
0.785,3.5
10,114.996
3.3,25.6
0.2,5
1.41,17.5
529.006,680.005
206.996,406.019
85.004,324.992
0.75,12.3
61.998,1320.02
6654.18,5711.86
3.5,3.9
6.8,179.003
34.998,56.003
4.05,17
0.12,1
0.023,0.4
0.01,0.25
1.4,12.5
250.01,489.997
2.5,12.1
55.501,175.002
100.003,156.993
52.159,440.011
10.55,179.504
0.55,2.4
59.997,80.996
3.6,21
4.288,39.201
0.28,1.9
0.075,1.2
0.122,3
0.048,0.33
192.001,180.008
3,25.001
160.004,169
0.9,2.6
1.62,11.4
0.104,2.5
4.235,50.4
